Manufacturer,Model identifier,Retail source,Battery voltage,Number of batteries included,Battery capacity in Ahr,Weight of battery in lbs,Motor type,Sound rating in db,Airflow in cubic feet/min on high-speed setting,Airflow in cubic feet/min on low-speed setting,Air velocity in miles per hour on high-speed setting,Air velocity in miles per hour on low-speed setting,Weight of blower with battery installed in lbs,Price,Data source(s) where you found data
RYOBI,P21081,Home Depot,18,1,4.0,1.74,0.5,65.0,280,280,100,100,6.2,149.0,https://www.homedepot.com/p/RYOBI-ONE-18V-100-MPH-280-CFM-Cordless-Battery-Variable-Speed-Jet-Fan-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-P2180/206451819
RIDGID,R860430,Home Depot,18,0,4.0,1.85,0.5,94.5,280,280,105,105,6.82,79.97,https://www.homedepot.com/p/RIDGID-18V-Cordless-105-MPH-Jobsite-Handheld-Blower-Tool-Only-R8604301B/301351360
RIDGID,R86043,Home Depot,18,0,4.0,1.85,0.5,79.0,110,110,160,160,3.87,69.0,https://www.homedepot.com/p/RIDGID-18V-Lithium-Ion-Cordless-Compact-Jobsite-Blower-with-Inflator-Deflator-Nozzle-R86043B/314241140
Black+Decker,LSW321,Home Depot,20,1,2.0,0.9,0.5,54.0,100,100,130,130,4.95,119.0,https://www.homedepot.com/p/BLACK-DECKER-20V-MAX-130-MPH-100-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-1-2Ah-Battery-Charger-LSW321/206541174
Black+Decker,LSW36,Home Depot,40,1,1.5,1.95,0.5,59.0,90,90,125,125,5.96,117.58,https://www.homedepot.com/p/BLACK-DECKER-40V-MAX-125-MPH-90-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-1-1-5Ah-Battery-Charger-LSW40C/303481972
Black+Decker,LSW221,Home Depot,20,1,1.5,0.9,0.5,61.0,100,100,130,130,4.95,96.99,https://www.homedepot.com/p/BLACK-DECKER-20V-MAX-130-MPH-100-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-1-1-5Ah-Battery-Charger-LSW221/206813031
Dewalt,DCBL777Y1,Home Depot,60,1,4.0,2.25,0.0,62.0,760,760,160,160,14.617,379.0,https://www.homedepot.com/p/DEWALT-60-Volt-MAX-157-MPH-780-CFM-Brushless-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-12-Ah-Battery-and-Charger-DCBL777Y1/327127876
Black+Decker,LSWV36,Home Depot,40,1,1.5,1.95,0.5,65.0,90,90,120,120,6.9,171.34,https://www.homedepot.com/p/BLACK-DECKER-40V-MAX-120-MPH-90-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Vacuum-Kit-with-1-1-5Ah-Battery-Charger-LSWV36/203190225
RYOBI,RY404140,Home Depot,40,1,6.0,1.5,0.0,57.0,650,650,160,160,10.35,279.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-160-MPH-650-CFM-Cordless-Battery-Leaf-Blower-with-6-0-Ah-Battery-and-Charger-RY404140/319045509
Dewalt,DCBL722BDCB246K,Home Depot,20,2,6.0,1.4,0.0,61.0,450,450,125,125,5.43,348.0,https://www.homedepot.com/p/DEWALT-20V-MAX-125-MPH-450-CFM-Cordless-Battery-Powered-Handheld-Leaf-Blower-Kit-with-6Ah-and-4Ah-Batteries-Charger-and-Bag-DCBL722BDCB246K/314645746
RYOBI,RY40470,Home Depot,40,1,4.0,1.95,0.5,59.0,550,550,125,125,9.7,199.0,https://www.homedepot.com/p/RYOBI-40V-Brushless-125-MPH-550-CFM-Cordless-Battery-Whisper-Series-Jet-Fan-Blower-with-4-0-Ah-Battery-and-Charger-RY40470/311417033
RYOBI,P21110,Home Depot,18,1,4.0,1.74,0.5,65.0,250,250,90,90,6.1,121.24,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-P21110/315543023
RYOBI,RY404170,Home Depot,40,2,6.0,2.35,0.0,59.0,730,730,165,165,30.0,429.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-165-MPH-730-CFM-Cordless-Battery-Backpack-Blower-with-2-6-0-Ah-Batteries-and-Charger-RY404170/317348668
RYOBI,RY404150,Home Depot,40,2,4.0,1.5,0.5,65.0,600,600,100,100,15.2,469.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-100-MPH-600-CFM-Cordless-Leaf-Blower-Mulcher-Vacuum-with-2-4-0-Ah-Batteries-and-Charger-RY404150/317348667
RYOBI,RY404100,Home Depot,40,2,4.0,1.5,0.5,57.0,730,730,190,190,9.7,329.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-190-MPH-730-CFM-Cordless-Battery-Jet-Fan-Leaf-Blower-with-2-4-0-Ah-Batteries-Charger-RY404100/314600140
RYOBI,RY40480,Home Depot,40,1,4.0,4.0,0.5,68.0,525,525,110,110,9.4,179.0,https://www.homedepot.com/p/RYOBI-40V-110-MPH-525-CFM-Cordless-Battery-Variable-Speed-Jet-Fan-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-RY40480/313378858
Dewalt,DCBL772B,Home Depot,20,0,0.0,0.0,0.0,62.0,450,450,125,125,5.3,159.0,https://www.homedepot.com/p/DEWALT-20V-MAX-125-MPH-450-CFM-Cordless-Brushless-Battery-Powered-Handheld-Leaf-Blower-Tool-Only-DCBL722B/311471031
Dewalt,DCBL722P1,Home Depot,20,1,5.0,1.4,0.0,62.0,450,450,125,125,6.7,219.0,https://www.homedepot.com/p/DEWALT-20V-MAX-125-Mph-450-CFM-Brushless-Cordless-Battery-Powered-Handheld-Leaf-Blower-with-1-5Ah-Battery-Charger-DCBL722P1/311223045
RYOBI,RY404130,Home Depot,40,1,4.0,1.5,0.0,55.0,600,600,155,155,9.7,259.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-155-MPH-600-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-RY404130/317312648
Milwaukee,2724-20,Home Depot,18,0,0.0,0.0,0.0,63.0,450,450,120,120,4.9,129.0,https://www.homedepot.com/p/Milwaukee-M18-FUEL-120-MPH-450-CFM-18-Volt-Lithium-Ion-Brushless-Cordless-Handheld-Blower-Tool-Only-2724-20/302752040
